Stationsnamn;Klimatnummer;Mäthöjd (meter över marken)
Stockholm;98210;2.0

Parameternamn;Beskrivning;Enhet
Lufttemperatur;medelvärde 1 dygn, 1 gång/dygn, kl 00;degree celsius

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
1859-01-01 00:00:00;2020-02-02 23:00:00;43.133;59.3417;18.0549

Från Datum Tid (UTC);Till Datum Tid (UTC);Representativt dygn;Lufttemperatur;Kvalitet;;Tidsutsnitt:
2019-09-25 00:00:01;2019-09-26 00:00:00;2019-09-25;10.9;Y;;Data från senaste fyra månaderna
2019-09-26 00:00:01;2019-09-27 00:00:00;2019-09-26;9.8;Y;;Tidsperiod (fr.o.m.) = 2019-09-25 00:00:01 (UTC)
2019-09-27 00:00:01;2019-09-28 00:00:00;2019-09-27;10.2;Y;;Tidsperiod (t.o.m.) = 2020-02-02 23:00:00 (UTC)
2019-09-28 00:00:01;2019-09-29 00:00:00;2019-09-28;12.5;Y;;Medelvärdet är beräknat för = 24 timmar
2019-09-29 00:00:01;2019-09-30 00:00:00;2019-09-29;12.3;Y;;
2019-09-30 00:00:01;2019-10-01 00:00:00;2019-09-30;11.9;Y;;Kvalitetskoderna:
2019-10-01 00:00:01;2019-10-02 00:00:00;2019-10-01;7.9;Y;;Grön (G) = Kontrollerade och godkända värden.
2019-10-02 00:00:01;2019-10-03 00:00:00;2019-10-02;6.8;Y;;Gul (Y) = Misstänkta eller aggregerade värden. Grovt kontrollerade arkivdata och okontrollerade realtidsdata (senaste 2 tim).
2019-10-03 00:00:01;2019-10-04 00:00:00;2019-10-03;5.6;Y;;
2019-10-04 00:00:01;2019-10-05 00:00:00;2019-10-04;3.8;Y;;Orsaker till saknade data:
2019-10-05 00:00:01;2019-10-06 00:00:00;2019-10-05;2.7;Y;;  stationen eller givaren har varit ur funktion.
2019-10-06 00:00:01;2019-10-07 00:00:00;2019-10-06;4.0;Y
2019-10-07 00:00:01;2019-10-08 00:00:00;2019-10-07;4.7;Y
2019-10-08 00:00:01;2019-10-09 00:00:00;2019-10-08;5.3;Y
2019-10-09 00:00:01;2019-10-10 00:00:00;2019-10-09;8.1;Y
2019-10-10 00:00:01;2019-10-11 00:00:00;2019-10-10;9.5;Y
2019-10-11 00:00:01;2019-10-12 00:00:00;2019-10-11;9.7;Y
